zip,lat,long,city,state,population,county,military
34001,,,Dpo,AA,,,TRUE
34002,,,Dpo,AA,,,TRUE
34004,,,Dpo,AA,,,TRUE
34007,,,Fpo,AA,,,TRUE
34008,,,Dpo,AA,,,TRUE
34011,,,Dpo,AA,,,TRUE
34020,,,Dpo,AA,,,TRUE
34021,,,Dpo,AA,,,TRUE
34022,,,Dpo,AA,,,TRUE
34023,,,Dpo,AA,,,TRUE
34024,,,Dpo,AA,,,TRUE
34025,,,Dpo,AA,,,TRUE
34030,,,Dpo,AA,,,TRUE
34031,,,Dpo,AA,,,TRUE
34032,,,Dpo,AA,,,TRUE
34033,,,Dpo,AA,,,TRUE
34034,,,Dpo,AA,,,TRUE
34035,,,Dpo,AA,,,TRUE
34036,,,Dpo,AA,,,TRUE
34037,,,Dpo,AA,,,TRUE
34038,,,Apo,AA,,,TRUE
34039,,,Dpo,AA,,,TRUE
34041,,,Dpo,AA,,,TRUE
34042,,,Apo,AA,,,TRUE
34044,,,Apo,AA,,,TRUE
34055,,,Dpo,AA,,,TRUE
34058,,,Fpo,AA,,,TRUE
34060,,,Dpo,AA,,,TRUE
34078,,,Apo,AA,,,TRUE
34080,,,Fpo,AA,,,TRUE
34081,,,Fpo,AA,,,TRUE
34082,,,Fpo,AA,,,TRUE
34083,,,Fpo,AA,,,TRUE
34084,,,Fpo,AA,,,TRUE
34085,,,Fpo,AA,,,TRUE
34086,,,Fpo,AA,,,TRUE
34087,,,Fpo,AA,,,TRUE
34088,,,Fpo,AA,,,TRUE
34089,,,Fpo,AA,,,TRUE
34090,,,Fpo,AA,,,TRUE
34091,,,Fpo,AA,,,TRUE
34092,,,Fpo,AA,,,TRUE
34093,,,Fpo,AA,,,TRUE
34094,,,Fpo,AA,,,TRUE
34095,,,Fpo,AA,,,TRUE
34096,,,Fpo,AA,,,TRUE
34098,,,Fpo,AA,,,TRUE
34099,,,Fpo,AA,,,TRUE
09001,,,Dpo,AE,,,TRUE
09003,,,Apo,AE,,,TRUE
09004,,,Apo,AE,,,TRUE
09005,,,Apo,AE,,,TRUE
09006,,,Apo,AE,,,TRUE
09008,,,Apo,AE,,,TRUE
09009,,,Apo,AE,,,TRUE
09010,,,Apo,AE,,,TRUE
09011,,,Apo,AE,,,TRUE
09012,,,Apo,AE,,,TRUE
09013,,,Apo,AE,,,TRUE
09014,,,Apo,AE,,,TRUE
09016,,,Apo,AE,,,TRUE
09017,,,Apo,AE,,,TRUE
09018,,,Apo,AE,,,TRUE
09020,,,Apo,AE,,,TRUE
09021,,,Apo,AE,,,TRUE
09028,,,Apo,AE,,,TRUE
09033,,,Apo,AE,,,TRUE
09034,,,Apo,AE,,,TRUE
09044,,,Apo,AE,,,TRUE
